Tên kênh,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01
MIN OFFICIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6169361666721414,0.7160055268219184,0.7160055268219183,0.7160055268219184,0.7160055268219184,0.7160055268219184,0.7160055268219184,0.7160055268219184,0.7766363499860408,0.7766363499860408,0.7892790964288938,0.8011764610216702,0.7990234653662003,0.8156094912680318,0.8156094912680318,0.8156094912680317,0.7717157224126958,0.7243300935832793,0.7237938634976528,0.7318662855276233,0.7847790150251771,0.7847790150251771,0.7847790150251771,0.8325948783041732,0.864696549321579,0.9156471159533623,0.9156471159533623,0.9156471159533623,0.9020134386923553,0.9540738202619411,0.9540738202619411,0.9512591336463767,0.9534415506789635,0.9534415506789635,0.9534415506789635,0.9534415506789635,0.9534415506789635,0.9610373467495125,1.0063209981694345,1.0063209981694345,1.0067231357934425,1.0264756932178065,1.0264756932178065,1.0264756932178065,1.0264756932178065,1.0718743017667327,1.0718743017667327,1.0788844001545168,1.0970775252679108,1.1079243465508422,1.1157694560234366,1.1157694560234366,1.1562067587898721,1.1595144978701273,1.1705443883504008,1.183374137427411,1.183374137427411,1.1939795214072173,1.1981446801038027,1.175590464965,1.1639011604083496,1.1639011604083496,1.158852904148294,1.1556085856123832,1.1556085856123832,1.1481236851203962,1.1481236851203962,1.1481236851203962,1.1481236851203962,1.1481236851203962,1.1481236851203962,1.1581899997450054,1.1587826632366125,1.1502797884644056,1.1272402979625034,1.1986004160436663,1.199828364938817,1.1622500906605069,1.1622500906605069,1.1550400061902595,1.1550400061902595,1.1550400061902595,1.1550400061902595,1.1550400061902595,1.1550400061902593,1.167013926242788,1.167013926242788,1.2255399648224794,1.232390719354032,1.2573943101461498,1.2573943101461498,1.2620864111591983,1.2620864111591983,1.2620864111591983,1.2620864111591983,1.2620864111591983,1.2620864111591983,1.2620864111591983,1.2620864111591983,1.2620864111591983,1.2620864111591983,1.2620864111591983,1.2636803670219277,1.2636803670219277,1.2636803670219277,1.2636803670219277,1.2636803670219277,1.2636803670219277,1.2636803670219277
Mono Official,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4731160686803085,0.6785067550254325,0.99095543129403,0.995462501706166,1.0591163348728512,1.0814801101121898,1.1088532781429175,1.2788971059113903,1.2788971059113903,1.247050741378833,1.247050741378833,1.247050741378833,1.247050741378833,1.2390504590814821,1.2390504590814821,1.2390504590814821,1.2390504590814821,1.3877794111328257,1.374043028058985,1.4042241450456596,1.452724118269769,1.452724118269769,1.4527241182697688,1.4527241182697688,1.452724118269769,1.452724118269769,1.5411487327299618,1.667506581064253,1.9048597654377932,1.9220436821075564,1.9220436821075564
My Tam,,,,,,,,,,,,,,,,,,,,,,0.6088352236447747,0.401089257255626,0.39736435024565836,0.37741965260810484,0.3658956584556096,0.37110374006624103,0.3740111872247538,0.3740111872247538,0.37492030153677103,0.375646944137609,0.381839565407936,0.38220321392169215,0.38383124486428305,0.38383124486428305,0.38694135617994163,0.39307602490479443,0.394404882338449,0.3982176728003043,0.40777324410654675,0.4095352345013395,0.4110311712949275,0.42056004553167864,0.43109582317732204,0.43652562545695694,0.4376138557228323,0.4368639595172815,0.4442177611136252,0.4442177611136252,0.44640218672903165,0.4477253808887032,0.4477253808887032,0.4482814906311737,0.44744129530654203,0.4474157738548627,0.4480336467431416,0.4480336467431416,0.4480336467431416,0.4480336467431416,0.4515480259037789,0.45108737444885466,0.45108737444885466,0.45108737444885466,0.45108737444885466,0.45108737444885466,0.45015282789057426,0.4564799037219691,0.462074205744059,0.46357482019504564,0.47159003347286543,0.47061170156210036,0.4760896363552448,0.4760896363552448,0.47871456093646936,0.48544714103824904,0.48544714103824904,0.4877631131390624,0.49084701050232055,0.49610309936938046,0.4971457294774502,0.4971457294774502,0.5034990302906651,0.5136582424564331,0.5176005174551555,0.5193807203658316,0.5222922298748098,0.5283708201503743,0.5347058737038097,0.5419712966112099,0.5507356918035147,0.5521949657408616,0.5516659261318603,0.5534113903403349,0.5531383238804239,0.5517803397595404,0.5532284117069491,0.5589208989686888,0.5589208989686888,0.5612815646028542,0.5678844385021562,0.5859441867589822,0.5859441867589822,0.5859441867589822,0.5853621302580411,0.5860964140590617,0.5871121181421476,0.589113188468739,0.5972266397798165,0.5972266397798165,0.5974868330766412,0.6032848794450807,0.6032848794450807,0.6044993080865029,0.6044993080865029,0.6046416893473704,0.6046416893473704,0.6046416893473704,0.6046416893473704,0.6088181983042547,0.6068860833836198,0.6056556893456816,0.6060502009769111,0.6045780561830217,0.6035647786270982,0.6019508390716082,0.6008223374746553,0.5992165755750078,0.6012634111924633,0.6174496884526064,0.6174496884526066,0.6174496884526066,0.61808279358005,0.61808279358005,0.6276879733723927,0.6347799927775982,0.631877652607775,0.628137382935309,0.6256992859932171,0.6233712118537973,0.6224927488657149,0.6224927488657149,0.6627066091428013,0.663985290458251,0.6839138958230151,0.687646530917998,0.687646530917998,0.695617335757755,0.6950028017923593,0.698317290566975,0.698317290566975,0.7009193984862523,0.7005793511137579,0.7005793511137579,0.7009813162553237,0.7009813162553237
Noo Phước Thịnh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42453596350918965,0.4002053157140965,0.3525597911014724,0.35212822394153154,0.34162885130756016,0.34391840684950953,0.34391840684950953,0.3373115906836312,0.332294568219514,0.33711609322348995,0.33711609322348995,0.37031359583929147,0.367346757280104,0.36720491249399195,0.36720491249399195,0.36720491249399195,0.38186495012415794,0.403735484127905,0.4073547162932658,0.4079351382980032,0.4346965691098011,0.48966477758203186,0.5204490633343968,0.5687737100088769,0.5954393702561567,0.5826842778049388,0.6276092736693533,0.6262407393972379,0.6506330342003714,0.6653562074689346,0.7010095554712742,0.7059315337257914,0.7677027471926013,0.7677027471926013,0.7786137355923153,0.776287890511939,0.7762878905119389,0.7762878905119389,0.7820997739401341,0.7868820067214737,0.804795097161961,0.8151904362808042,0.8151904362808042,0.8254633070716081,0.8267552719651996,0.8267552719651996,0.8411807543183561,0.8411807543183561,0.8411807543183561,0.8411807543183561,0.8498923728810851,0.8659946287438336,0.8891479218795709,0.8997125603492593,0.8997125603492593,0.9015975186578901,0.9015975186578903,0.9015975186578903,0.8976283839086531,0.8976283839086532,0.8976283839086532,0.8976283839086531,0.8976283839086531,0.9196432002094422,0.9195050782803657,0.9154424947760245,0.9154424947760245,0.9154424947760245,0.9154424947760245,0.9154424947760245,0.9154424947760245,0.9154424947760245,0.9154424947760245,0.9096612321468494,0.9045846796187378,0.881116396785152,0.881116396785152,0.881116396785152,0.881116396785152,0.881116396785152,0.881116396785152,0.8675350597920866,0.8675350597920866,0.8675350597920866,0.8675350597920866,0.8675350597920866,0.8675350597920866,0.8675350597920866,0.8675350597920866,0.8688691182147509,0.8688691182147509,0.8688691182147509,0.8688691182147509,0.8600325857487886,0.8580466137065448,0.8538158939615504,0.8538158939615504,0.8538158939615504,0.8500975370592802,0.8500975370592802,0.8476177768572831,0.8476177768572831,0.8476177768572831,0.8457197906800625,0.8457197906800625,0.8457197906800625,0.8457197906800625,0.8457197906800625,0.8437598259847717,0.8437598259847717,0.8437598259847717,0.8437598259847717,0.8437598259847717,0.8437598259847717,0.8409844535402508,0.8409844535402508,0.8409844535402508,0.8409844535402508,0.8409844535402508,0.8895472565705324,0.8945558652595902,0.8945558652595902,0.8945558652595902,0.8945558652595902,0.8945558652595902
Phan Mạnh Quỳnh Official,,,,,,,,,,,,,,,,,,,,0.5006580785390004,0.5006580785390005,0.5006580785390005,0.5006580785390005,0.5006580785390005,0.5006580785390005,0.5006580785390004,0.5006580785390005,0.5006580785390005,0.5006580785390004,0.5006580785390005,0.5006580785390005,0.5006580785390005,0.5006580785390005,0.5006580785390004,0.5006580785390005,0.5006580785390004,0.5006580785390004,0.5006580785390004,0.5006580785390004,0.5006580785390005,0.5006580785390005,0.5006580785390004,0.5006580785390005,0.5006580785390005,0.5006580785390004,0.5006580785390004,0.5006580785390005,0.5006580785390004,0.5006580785390005,0.5006580785390005,0.5006580785390005,0.5006580785390004,0.5006580785390005,0.5006580785390005,0.5006580785390005,0.5006580785390004,0.5006580785390005,0.5006580785390005,0.5006580785390005,0.5006580785390005,0.807926909081775,0.6700845082602332,0.6700845082602332,0.6700845082602332,0.6700845082602332,0.6700845082602332,0.6700845082602332,0.7484095977525147,0.7260976681739355,0.7090085688564147,0.658579016719936,0.6994936153973117,0.6994936153973116,0.6994936153973116,0.6994936153973116,0.6994936153973116,0.6994936153973116,0.6766288825686402,0.6544325201300467,0.6544325201300467,0.6544325201300467,0.6544325201300467,0.6600628674732043,0.6600628674732044,0.7243666114908407,0.7243666114908407,0.7243666114908407,0.7103373564626182,0.7294113658600412,0.7294113658600411,0.7294113658600412,0.7294113658600412,0.7236868282326453,0.7066989068447892,0.7066989068447892,0.7066989068447892,0.7606416610663894,0.7606416610663894,0.8066304475544793,0.8066304475544793,0.8066304475544793,0.8401814166847984,0.9348174796026919,0.9348174796026919,0.9187514935147675,0.9943457459784137,0.9943457459784137,0.9833861760188066,0.9833861760188066,0.9833861760188066,0.9833861760188063,0.9833861760188063,1.054742292849123,1.054742292849123,1.0574685847099674,1.0574685847099674,1.0953861395172666,1.0953861395172666,1.0777473799039055,1.0633839785726673,1.0633839785726675,1.0633839785726673,1.0633839785726673,1.0633839785726673,1.0723021514570423,1.0723021514570423,1.0723021514570423,1.0784270014182316,1.0784270014182316,1.0784270014182316,1.0784270014182316,1.0725078179600507,1.0725078179600507,1.0725078179600507,1.074484232669061,1.0919077897386944,1.0686725395879357,1.0686725395879357,1.0686725395879357,1.0686725395879357,1.0686725395879357,1.0686725395879357,1.0705322024840307,1.0537103694549461,1.038715007093739,1.038715007093739,1.038715007093739,1.038715007093739,1.038715007093739,1.0530185092206847,1.053018509220685,1.0530185092206847,1.0467871488408416,1.1492818573581158,1.1492818573581158
Pháo Northside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0683574126379343,1.0683574126379343,1.068357412637934,1.068357412637934,1.068357412637934,1.1506605192295025,1.1506605192295023,1.1506605192295023,1.1506605192295023,1.1506605192295023,1.1506605192295027,1.1506605192295023,1.1506605192295023,1.1506605192295025,1.7016919205873484,1.7016919205873484,1.7016919205873484,1.7391121093259068,1.7391121093259068,1.7391121093259068,1.7391121093259068,1.7391121093259065,1.669491627451568,1.669491627451568,1.5766436074735508,1.5766436074735508,1.4919472379779715,1.4919472379779715,1.4919472379779715,1.4919472379779715,1.4919472379779715,1.4919472379779715,1.4402590352953915,1.4402590352953915,1.4157754369420799,1.352308049183805,1.352308049183805,1.3169979694787253,1.2347587634630637,1.2347587634630637,1.2347587634630637,1.2347587634630637,1.2347587634630637,1.2700832732673466,1.2610202540764708,1.2610202540764708,1.2610202540764708,1.2045597643991577,1.2045597643991577,1.189072237314748,1.189072237314748,1.189072237314748,1.189072237314748,1.189072237314748,1.2094218369289653,1.2094218369289653,1.2094218369289653,1.4161343253016043,1.4161343253016043
Phương Mỹ Chi,,,,,,,,,,,,,,,,,,,,,,,,0.15558224211166313,0.15558224211166313,0.1392360294207515,0.13197345263692434,0.1781539186539139,0.15161941332498824,0.15161941332498824,0.16075228096938973,0.21132082100071184,0.1935450982937334,0.19311675112823407,0.186892864377167,0.17177729591363852,0.17177729591363858,0.18551215675692104,0.18417661080570233,0.1826542706228376,0.18323698414483552,0.18323698414483552,0.18323698414483552,0.18658817097575267,0.18658817097575267,0.18595432977506562,0.18773063861074507,0.19255983578862548,0.19374894250284785,0.2056938276698935,0.20596176805075286,0.20533794431196944,0.20523210416936635,0.20523210416936635,0.20523210416936635,0.20523210416936635,0.20523210416936635,0.23173109297095512,0.2414308071729168,0.24510927614074302,0.245109276140743,0.24510927614074302,0.24510927614074302,0.2422295295174714,0.2422295295174714,0.24636728877661646,0.24636728877661646,0.24636728877661646,0.2511456472243795,0.2598434952146177,0.2598434952146177,0.2628418281541116,0.2628418281541116,0.2628418281541116,0.2628418281541116,0.2628418281541116,0.2628418281541116,0.2762432978152075,0.2762432978152075,0.2762432978152075,0.28288641296770045,0.3105148383524735,0.3105148383524735,0.3311849029695427,0.3311849029695428,0.3516792030684241,0.37481302838397845,0.38298507122645303,0.3927722355746082,0.3927722355746082,0.3929028629005746,0.42879840415170806,0.4277399890173621,0.43636751488385894,0.43636751488385894,0.5262734803037976,0.5272201748414503,0.5214558708443618,0.5330530372677101,0.5404162094172981,0.547603314312671,0.550101495522917,0.5584730188205334,0.5717216945502684,0.5775872583670063,0.5787227266014445,0.5787227266014445,0.5894806246731706,0.5894806246731706,0.5894806246731706,0.5894806246731706,0.5894806246731706,0.5894806246731706,0.5894806246731706,0.5894806246731706,0.5922158319849826,0.621756207671362,0.6493690794394094,0.6657156791872217,0.6729052600432286,0.675708155776593,0.6744278249696176,0.671259961211764,0.671259961211764,0.671259961211764,0.6712599612117641,0.6712599612117641,0.671259961211764,0.6907802569026827,0.719486012908961,0.719486012908961,0.719486012908961,0.719486012908961,0.719486012908961,0.7747448605634056,0.8206634571456037,0.8557167074071247,0.8857794502968293,0.8865441495621762,0.8902688746518874,0.8896149311697679,0.8896149311697679,0.8901313247580172,0.9011752867800817,0.904865312160449,0.904865312160449,0.930511329591011,0.930511329591011,0.9528922580322635,0.960724926468905,1.0055386202912087,1.0151051825226907,1.0792766952428834,1.0908578359354666,1.0908578359354666
Sơn Tùng M-TP Official,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47243034879649515,0.4724303487964952,0.4724303487964951,0.5889572352338122,0.7181224095268592,0.8390018731682028,0.8390018731682028,0.7118856411143908,0.7118856411143908,0.8163042680438464,0.8249252281521693,1.003009964771053,1.0019815915945642,1.0280169925400529,1.0280169925400529,1.0280169925400529,1.0280169925400529,1.0280169925400529,0.9895131389441209,0.9701436850073956,0.9701436850073956,0.9701436850073956,1.0313207705722314,1.0128366190801337,1.1192838748912943,1.111336678089541,1.1503386677122007,1.1961892694633691,1.1961892694633691,1.1961892694633696,1.1961892694633696,1.1961892694633696,1.251929129335657,1.251929129335657,1.251929129335657,1.251929129335657,1.251929129335657,1.251929129335657,1.251929129335657,1.251929129335657,1.2713759129887994,1.2713759129887994,1.2771023258056686,1.2771023258056686,1.2771023258056686,1.2771023258056686,1.294526081839881,1.294526081839881,1.2981429969987113,1.2981429969987113,1.2981429969987113,1.2961424385951998,1.2886750625768717,1.3168298798472409,1.322512117834234,1.322512117834234,1.3225121178342338,1.322512117834234,1.322512117834234,1.344852923346755,1.344852923346755,1.344852923346755,1.344852923346755,1.344852923346755,1.3910170690093042,1.4595170014387109,1.5225378943720804,1.648532894664695,1.648532894664695,1.6485328946646947,1.6474861163773962,1.6963056519759594,1.7925186445759484,1.7925186445759484,1.7925186445759484,1.8194295762675925,1.9617962653417278,2.0498842832958344,2.129917325932424,2.210116815778199,2.2865240159899702,2.3426629508040815,2.411481156324507,2.4805872122050965,2.517637715668984,2.543462173066216,2.555764326260302,2.5869589798496806,2.5869589798496806,2.5869589798496806,2.5812195525794803,2.5812195525794803,2.5812195525794803,2.6232220654559413,2.6232220654559413,2.6232220654559413,2.6232220654559413,2.6232220654559413,2.628351024845594,2.6268353749394224,2.6187716021626746,2.6187716021626746,2.6187716021626746,2.6187716021626746,2.611643460375299,2.611643460375299,2.611643460375299,2.611643460375299,2.6088782985948877,2.6088782985948877,2.6080483664332754,2.6080483664332754,2.6136312756577693,2.6020663531696697,2.6020663531696697,2.590376946299298,2.590376946299298,2.590376946299298,2.590376946299298,2.590376946299298
Trúc Nhân,,,,,,,,,,,,,,,,0.6940572218612713,0.7511570886019121,0.7511570886019121,0.7511570886019121,0.7170916314474612,0.6632645744789318,0.6632645744789317,0.6632645744789318,0.6216308030099866,0.6216308030099866,0.6216308030099866,0.6013963197200932,0.5373543426646451,0.5373543426646451,0.47583031133370884,0.47583031133370884,0.47583031133370884,0.47583031133370884,0.4875650649632367,0.4875650649632367,0.4875650649632367,0.4875650649632367,0.4875650649632367,0.4875650649632367,0.4875650649632367,0.4875650649632367,0.48756506496323665,0.47377944656372856,0.47377944656372856,0.4823282020237738,0.48232820202377386,0.4578594721159178,0.4578594721159178,0.4578594721159179,0.4578594721159178,0.4578594721159178,0.4799382904201161,0.4799382904201161,0.4799382904201161,0.4799382904201161,0.4799382904201161,0.4799382904201161,0.4799382904201161,0.4799382904201161,0.4799382904201161,0.4799382904201161,0.4799382904201161,0.4799382904201161,0.4799382904201161,0.4799382904201161,0.4799382904201161,0.4799382904201161,0.4799382904201161,0.4799382904201161,0.4799382904201161,0.4799382904201161,0.4799382904201161,0.4799382904201161,0.4799382904201161,0.4799382904201161,0.4799382904201161,0.4799382904201161,0.546616702884895,0.5913979719398682,0.5913979719398682,0.5913979719398682,0.5913979719398682,0.5913979719398682,0.5913979719398682,0.5913979719398682,0.5913979719398682,0.6461292615252974,0.7059512091863802,0.7059512091863802,0.6965751497921722,0.7111572720807683,0.7327799165565229,0.768299797578386,0.780432449679716,0.7386688056591275,0.7448861426371223,0.7658416974029854,0.7658416974029854,0.7701341963962649,0.7701341963962649,0.7701341963962649,0.8208757936194019,0.8260555745647697,0.8105113292454733,0.8105113292454733,0.8191525645501564,0.7909829553421586,0.7967892932961219,0.804474231502187,0.8044742315021869,0.804474231502187,0.804474231502187,0.8044742315021869,0.804474231502187,0.804474231502187,0.804474231502187,0.8179092578843075,0.8179092578843075,0.8236012597850652,0.8236012597850652,0.8236012597850652,0.832953110402396,0.832953110402396,0.9799380986198407,0.9758774870541717,0.9758774870541717,0.9758774870541717,0.9733970090719086,0.9660796370083349,0.9546080342414526,0.9361650363681194,0.9421567828428572,0.9421567828428572,0.9421567828428572,0.9421567828428572,0.9322574853427686,0.9322574853427686,0.9322574853427686,0.9322574853427686,0.9322574853427686,0.932485985765578,0.932485985765578,0.9126526352034859,0.9033006904453379,0.9109341801285454,0.9114179151766042,0.9035073887643643,0.9035073887643643,0.9036059253891234,0.9036059253891234,0.8951901653272621,0.8951901653272621,0.8951901653272621,1.1084294923454017,1.1084294923454017
Vũ Cát Tường,1.2481383054184385,1.248138305418438,1.248138305418438,1.2481383054184385,1.0840707220243624,1.0840707220243624,0.8731959149384404,0.8731959149384404,0.8731959149384404,0.8731959149384404,0.8731959149384404,0.8731959149384404,0.8731959149384404,0.8731959149384404,0.8731959149384404,0.881631231037675,0.8696258235323289,0.8696258235323289,0.8696258235323292,0.8696258235323292,0.8696258235323289,0.7775142055787853,0.8299337108259628,0.8299337108259628,0.8299337108259629,0.8299337108259628,0.8299337108259628,0.8299337108259628,0.7726911422968002,0.7772361068083788,0.8435381734088129,0.8101646644800221,0.8064976622399778,0.8171984436118549,0.8040449762646619,0.8098806495107148,0.8098806495107148,0.7803958051331483,0.8212753992720149,0.8212753992720149,0.8212753992720149,0.8212753992720149,0.8212753992720149,0.8212753992720149,0.8212753992720149,0.8212753992720149,0.8817213901406626,0.8628505770289234,0.8808600805531999,0.8808600805531999,0.8808600805531999,0.8718683468037111,0.8750949425935937,0.8980075263701558,0.8928241128168166,0.8928241128168166,0.9317977173545323,0.9317977173545323,0.9340069941840277,0.9539726086400505,0.9804491579399676,0.9902241066300349,0.9902241066300349,1.006846172066143,1.0163205519057272,1.0732076634945458,1.1071621059119747,1.1063249864996345,1.1602295332088923,1.1602295332088923,1.2158162357742306,1.228916643783927,1.2477754066326114,1.2489223917691585,1.2489223917691585,1.2489223917691583,1.2489223917691585,1.2736421048288609,1.2736421048288609,1.2823332400290843,1.3679534430807931,1.4289645618714977,1.4426801787600723,1.4489251204876556,1.4489251204876556,1.4489251204876556,1.4411004820107545,1.4286911963055606,1.4286911963055606,1.4286911963055606,1.4286911963055606,1.4866470330692318,1.49589462546628,1.6144948056674042,1.8415381164830973,1.8727971557293546,1.8673044250396968,1.9094539655375464,1.9333901665669104,1.9324264576633405,1.9324264576633405,1.9324264576633405,1.9324264576633405,1.9324264576633405,1.9398301377966463,1.9313354146387964,1.9319924843816143,1.9319924843816143,1.9319924843816143,1.9276158857391772,1.9360365040285992,1.9360365040285992,1.9514172475699325,1.9560626107399997,1.9560626107399997,1.9560626107399997,1.9560626107399997,1.9535400590715477,1.9535400590715477,1.9535400590715477,1.9535400590715477,1.9535400590715477,1.9535400590715477,1.9535400590715477,1.9535400590715477,1.9632140688752484,1.9639364617528687,1.9639364617528687,1.9639364617528687,1.9639364617528687,1.9639364617528687,2.0245009967657928,2.0206739125598556,2.0561458198147218,2.0311961213841956,2.0311961213841956,2.0311961213841956,2.0311961213841956,2.0311961213841956,2.0431070720819955,2.0431070720819955,2.0431070720819955,2.028504097931921,2.028504097931921,2.02644232846673,1.997647366781575,1.9910825206218603,1.9910825206218603,1.9910825206218603,1.9910825206218603,1.9854538062080822,2.023038603843987,2.027965330942883,2.0465291678325825,2.0465291678325825
